status file for recon-all
Sat Dec  7 14:39:55 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm10 fsaverage Sat Dec  7 18:05:36 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm15 fsaverage Sat Dec  7 18:05:38 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm20 fsaverage Sat Dec  7 18:05:40 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm25 fsaverage Sat Dec  7 18:05:42 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm0 fsaverage Sat Dec  7 18:05:44 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm5 fsaverage Sat Dec  7 18:05:45 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm10 fsaverage Sat Dec  7 18:05:47 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm15 fsaverage Sat Dec  7 18:05:48 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm20 fsaverage Sat Dec  7 18:05:50 CST 2024
#@# Qdec Cache surf2surf lh white.K fwhm25 fsaverage Sat Dec  7 18:05:52 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm0 fsaverage Sat Dec  7 18:05:55 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm5 fsaverage Sat Dec  7 18:05:55 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm10 fsaverage Sat Dec  7 18:05:57 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm15 fsaverage Sat Dec  7 18:05:59 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm20 fsaverage Sat Dec  7 18:06:01 CST 2024
#@# Qdec Cache surf2surf lh white.H fwhm25 fsaverage Sat Dec  7 18:06:03 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm0 fsaverage Sat Dec  7 18:06:05 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm5 fsaverage Sat Dec  7 18:06:06 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm10 fsaverage Sat Dec  7 18:06:08 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm15 fsaverage Sat Dec  7 18:06:09 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm20 fsaverage Sat Dec  7 18:06:11 CST 2024
#@# Qdec Cache surf2surf lh jacobian_white fwhm25 fsaverage Sat Dec  7 18:06:13 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm0 fsaverage Sat Dec  7 18:06:16 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm5 fsaverage Sat Dec  7 18:06:17 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm10 fsaverage Sat Dec  7 18:06:18 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm15 fsaverage Sat Dec  7 18:06:20 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm20 fsaverage Sat Dec  7 18:06:22 CST 2024
#@# Qdec Cache surf2surf lh w-g.pct.mgh fwhm25 fsaverage Sat Dec  7 18:06:24 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm0 fsaverage Sat Dec  7 18:06:26 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm5 fsaverage Sat Dec  7 18:06:27 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm10 fsaverage Sat Dec  7 18:06:29 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm15 fsaverage Sat Dec  7 18:06:31 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm20 fsaverage Sat Dec  7 18:06:32 CST 2024
#@# Qdec Cache surf2surf rh thickness fwhm25 fsaverage Sat Dec  7 18:06:34 CST 2024
#@# Qdec Cache surf2surf rh area fwhm0 fsaverage Sat Dec  7 18:06:37 CST 2024
#@# Qdec Cache surf2surf rh area fwhm5 fsaverage Sat Dec  7 18:06:38 CST 2024
#@# Qdec Cache surf2surf rh area fwhm10 fsaverage Sat Dec  7 18:06:39 CST 2024
#@# Qdec Cache surf2surf rh area fwhm15 fsaverage Sat Dec  7 18:06:41 CST 2024
#@# Qdec Cache surf2surf rh area fwhm20 fsaverage Sat Dec  7 18:06:43 CST 2024
#@# Qdec Cache surf2surf rh area fwhm25 fsaverage Sat Dec  7 18:06:45 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm0 fsaverage Sat Dec  7 18:06:47 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm5 fsaverage Sat Dec  7 18:06:48 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm10 fsaverage Sat Dec  7 18:06:50 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm15 fsaverage Sat Dec  7 18:06:52 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm20 fsaverage Sat Dec  7 18:06:54 CST 2024
#@# Qdec Cache surf2surf rh area.pial fwhm25 fsaverage Sat Dec  7 18:06:56 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm0 fsaverage Sat Dec  7 18:06:58 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm5 fsaverage Sat Dec  7 18:06:59 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm10 fsaverage Sat Dec  7 18:07:00 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm15 fsaverage Sat Dec  7 18:07:02 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm20 fsaverage Sat Dec  7 18:07:04 CST 2024
#@# Qdec Cache surf2surf rh volume fwhm25 fsaverage Sat Dec  7 18:07:06 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm0 fsaverage Sat Dec  7 18:07:08 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm5 fsaverage Sat Dec  7 18:07:09 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm10 fsaverage Sat Dec  7 18:07:11 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm15 fsaverage Sat Dec  7 18:07:13 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm20 fsaverage Sat Dec  7 18:07:15 CST 2024
#@# Qdec Cache surf2surf rh curv fwhm25 fsaverage Sat Dec  7 18:07:17 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm0 fsaverage Sat Dec  7 18:07:19 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm5 fsaverage Sat Dec  7 18:07:20 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm10 fsaverage Sat Dec  7 18:07:22 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm15 fsaverage Sat Dec  7 18:07:23 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm20 fsaverage Sat Dec  7 18:07:25 CST 2024
#@# Qdec Cache surf2surf rh sulc fwhm25 fsaverage Sat Dec  7 18:07:27 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm0 fsaverage Sat Dec  7 18:07:30 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm5 fsaverage Sat Dec  7 18:07:31 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm10 fsaverage Sat Dec  7 18:07:32 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm15 fsaverage Sat Dec  7 18:07:34 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm20 fsaverage Sat Dec  7 18:07:36 CST 2024
#@# Qdec Cache surf2surf rh white.K fwhm25 fsaverage Sat Dec  7 18:07:38 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm0 fsaverage Sat Dec  7 18:07:40 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm5 fsaverage Sat Dec  7 18:07:41 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm10 fsaverage Sat Dec  7 18:07:43 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm15 fsaverage Sat Dec  7 18:07:45 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm20 fsaverage Sat Dec  7 18:07:47 CST 2024
#@# Qdec Cache surf2surf rh white.H fwhm25 fsaverage Sat Dec  7 18:07:49 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm0 fsaverage Sat Dec  7 18:07:51 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm5 fsaverage Sat Dec  7 18:07:52 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm10 fsaverage Sat Dec  7 18:07:53 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm15 fsaverage Sat Dec  7 18:07:55 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm20 fsaverage Sat Dec  7 18:07:57 CST 2024
#@# Qdec Cache surf2surf rh jacobian_white fwhm25 fsaverage Sat Dec  7 18:07:59 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm0 fsaverage Sat Dec  7 18:08:01 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm5 fsaverage Sat Dec  7 18:08:02 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm10 fsaverage Sat Dec  7 18:08:04 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm15 fsaverage Sat Dec  7 18:08:06 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm20 fsaverage Sat Dec  7 18:08:08 CST 2024
#@# Qdec Cache surf2surf rh w-g.pct.mgh fwhm25 fsaverage Sat Dec  7 18:08:10 CST 2024
recon-all -s sub1 finished without error at Sat Dec  7 18:08:13 CST 2024
